"","state","year","mortality_rate","aar_mortality","incidence_rate","aar_incidence","avg_NO3","avg_SO2","avg_TSO4","avg_TNH4","avg_CA","avg_K","avg_MG","avg_NA","avg_CL","Female"
"1383","Washington",2002,0.000552127647932904,67.5,0.000692397915245587,83.6,0.667353289473684,0.743863157894737,0.799082236842105,0.259098026315789,0.0416875,0.0469526315789474,0.0276927631578947,0.196297368421053,NA,0
"1384","Washington",2003,0.000548977480074882,67,0.000693462560262456,83.3,0.652329139072848,0.711627152317881,0.739186754966887,0.233182781456954,0.0400172185430464,0.0467059602649007,0.0272185430463576,0.188444370860927,0.151013333333333,0
"1385","Washington",2004,0.00053536014693096,63.8,0.000681249043418229,79.4,0.636792481203007,0.720360902255639,0.825691729323308,0.234118796992481,0.0385225563909774,0.0606353383458647,0.0307556390977444,0.21382030075188,0.157348120300752,0
"1386","Washington",2005,0.000529257121593209,62.4,0.000684788661879252,79.4,0.372646296296296,0.253659259259259,0.617941666666667,0.182782407407407,0.0274435185185185,0.0398361111111111,0.0166453703703704,0.097587962962963,0.0568009259259259,0
"1387","Washington",2006,0.000515447982339755,59.7,0.000675066512978627,76.7,0.389213861386139,0.221775247524752,0.621838613861386,0.166292079207921,0.0303188118811881,0.0374920792079208,0.0196554455445545,0.109182178217822,0.0591534653465347,0
"1388","Washington",2007,0.000500033138474952,56.9,0.000622318778438023,69.7,0.353229702970297,0.172338613861386,0.560809900990099,0.162649504950495,0.023480198019802,0.0396128712871287,0.0159118811881188,0.0954792079207921,0.0630811881188119,0
"1389","Washington",2008,0.000506566242560191,57.3,0.000649726267631549,72.1,0.330910526315789,0.178236842105263,0.568315789473684,0.168565789473684,0.0286157894736842,0.0357526315789474,0.0178736842105263,0.111573684210526,0.0706605263157895,0
"1390","Washington",2009,0.000499773432032318,55.2,0.000673987048616732,73.6,0.325219607843137,0.160705882352941,0.597013725490196,0.17103137254902,0.0288411764705882,0.0533235294117647,0.0188294117647059,0.121519607843137,0.077078431372549,0
"1391","Washington",2010,0.000519886708765778,56.2,0.000676805549269538,72.4,0.299394,0.181914,0.491356,0.139468,0.028336,0.04624,0.019752,0.127714,0.098814,0
"1392","Washington",2011,0.000495505622930801,53,0.000641864935042034,67.8,0.275945098039216,0.145664,0.510262745098039,0.154386274509804,0.0217764705882353,0.037986,0.0164666666666667,0.109349019607843,0.0772529411764706,0
"1393","Washington",2012,0.000463242452899322,48.6,0.000641211304860643,66.2,0.275727450980392,0.127670588235294,0.457305882352941,0.140325490196078,0.0254313725490196,0.0393803921568627,0.0171725490196078,0.111533333333333,0.0962176470588235,0
"1394","Washington",2013,0.000469465189631123,47.8,0.000622595466077326,61.6,0.27866,0.125813333333333,0.449413333333333,0.129096666666667,0.02492,0.0343566666666667,0.0165366666666667,0.10691,0.0692133333333333,0
"1395","West Virginia",1999,0.000687909217446923,52.7,0.000914350473111979,71.1,1.982046,6.540518,4.766045,1.34118,NA,NA,NA,NA,NA,1
"1396","West Virginia",2000,0.000687300771651321,51.7,0.000914605572307165,70.1,1.96484563106796,6.59605922330097,4.99047281553398,1.50603980582524,0.292138834951456,0.0966456310679612,0.0331097087378641,0.0822077669902913,NA,1
"1397","West Virginia",2001,0.00074487653779653,55.8,0.000959245076290298,73,1.71492444444444,5.46280112359551,5.66096888888889,1.63568,0.358882222222222,0.0876877777777778,0.0399944444444444,0.0850744444444444,NA,1
"1398","West Virginia",2002,0.000667863842371144,49.9,0.000931978554751305,70.4,1.75915242718447,5.42652815533981,4.54475048543689,1.39233883495146,0.278650485436893,0.0887640776699029,0.0302563106796116,0.0757368932038835,NA,1
"1399","West Virginia",2003,0.000655624382314343,48.6,0.000881366550195229,66.5,1.64538942307692,5.715775,4.7304125,1.36358846153846,0.246258653846154,0.0962615384615385,0.029975,0.0527528846153846,0.034052380952381,1
"1400","West Virginia",2004,0.000646151622336782,48,0.000893177868605769,67.1,1.41315339805825,5.26433106796117,4.66846796116505,1.38149223300971,0.254039805825243,0.0832941747572816,0.0306242718446602,0.0699883495145631,0.0428116504854369,1
"1401","West Virginia",2005,0.000673716435447186,49.7,0.00102728282076987,77,1.5876213592233,5.87490485436893,5.28177087378641,1.54758834951456,0.305492233009709,0.084326213592233,0.0337291262135922,0.0611495145631068,0.0369349514563107,1
"1402","West Virginia",2006,0.000721036315085348,52.9,0.000974634780599717,71.8,1.29482980769231,4.86766153846154,4.44312115384615,1.30401538461538,0.285638461538462,0.0869634615384615,0.0336432692307692,0.0522028846153846,0.0392903846153846,1
"1403","West Virginia",2007,0.000680831536545643,49.8,0.000978896366718381,72.9,1.43397904761905,4.49633523809524,4.33177714285714,1.31136952380952,0.300559047619048,0.0843019047619048,0.036772380952381,0.0740247619047619,0.043692380952381,1
"1404","West Virginia",2008,0.000687766001255734,49.5,0.00105250660223273,77,1.23456699029126,3.65911747572816,3.67349223300971,1.15125436893204,0.286457281553398,0.0830757281553398,0.0334436893203883,0.0674126213592233,0.038431067961165,1
"1405","West Virginia",2009,0.000733918334517417,52.5,0.000936599269921936,67.9,0.998543564356436,2.60615346534653,3.00987524752475,0.972243564356436,0.308451485148515,0.101555445544554,0.0313277227722772,0.0608257425742574,0.0400970297029703,1
"1406","West Virginia",2010,0.000703243110398529,49.8,0.000914960779035908,65.7,1.189257,2.726443,3.195814,0.992125,0.389418,0.098662,0.039208,0.053974,0.038813,1
"1407","West Virginia",2011,0.000664653917363844,47.5,0.000911373451489303,65.9,0.996630303030303,1.79943939393939,2.86780404040404,0.925951515151515,0.284569696969697,0.0852414141414141,0.0311939393939394,0.063049494949495,0.0491828282828283,1
"1408","West Virginia",2012,0.000674516162322208,47.1,0.000946876000736223,66,0.889130303030303,1.04979292929293,2.31976767676768,0.773824242424242,0.279629292929293,0.075249494949495,0.030059595959596,0.0484383838383838,0.0405939393939394,1
"1409","West Virginia",2013,0.000652516720740969,45.4,0.0010043639721209,69.6,0.929582692307692,1.12293557692308,2.12615288461538,0.761221153846154,0.237291346153846,0.0695028846153846,0.0265182692307692,0.0626269230769231,0.0442201923076923,1
"1410","West Virginia",2014,0.000673249551166966,46,0.00099277592545097,68.2,0.971809615384615,1.38590673076923,2.10852596153846,0.726153846153846,0.262204807692308,0.0732776699029126,0.0291605769230769,0.0680711538461539,0.0506567307692308,1
"1411","West Virginia",2015,0.000642175923986989,42.4,0.000990110705545157,66.2,0.891066,1.02705,1.777277,0.583123,0.272505,0.078752,0.03241,0.073716,0.051849,1
"1412","West Virginia",2016,0.000669974033103201,44.3,0.00102225070212198,68.1,0.844030693069307,0.649715841584158,1.36673861386139,0.471212871287129,0.262717821782178,0.0732376237623762,0.0270069306930693,0.0552356435643564,0.044050495049505,1
